"","X","id","t0","L1","L2","L3","A","Y"
"3786",3786,541,1,3,-1.43507866518111,NA,0,NA
"3787",3787,541,2,NA,NA,NA,NA,-5.55105144756338
"3792",3792,542,0,2,-1.46694167282045,5,1,NA
"3793",3793,542,1,2,-1.57921263743151,NA,1,NA
"3794",3794,542,2,NA,NA,NA,NA,-5.40482371829888
"3799",3799,543,0,2,-1.35490846312156,9,1,NA
"3800",3800,543,1,2,-1.50609205415274,NA,0,NA
"3801",3801,543,2,NA,NA,NA,NA,-3.35784324556354
"3806",3806,544,0,3,-1.50595830012246,5,1,NA
"3807",3807,544,1,2,-1.34589664105679,NA,1,NA
"3808",3808,544,2,NA,NA,NA,NA,-5.40804554294431
"3813",3813,545,0,3,-1.35040385374481,7,1,NA
"3814",3814,545,1,2,-1.47217029336043,NA,1,NA
"3815",3815,545,2,NA,NA,NA,NA,-3.79125367614076
"3820",3820,546,0,2,0.535157241355177,9,1,NA
"3821",3821,546,1,2,-1.4055532353342,NA,0,NA
"3822",3822,546,2,NA,NA,NA,NA,-2.41935155281763
"3827",3827,547,0,3,-1.69507435185626,10,1,NA
"3828",3828,547,1,2,-1.3606204222639,NA,1,NA
"3829",3829,547,2,NA,NA,NA,NA,-4.6558250401438
"3834",3834,548,0,3,-1.24813279280517,5,1,NA
"3835",3835,548,1,3,-1.40285860135235,NA,1,NA
"3836",3836,548,2,NA,NA,NA,NA,-4.6188932347818
"3841",3841,549,0,2,0.564631361713352,6,0,NA
"3842",3842,549,1,1,0.588551968398525,NA,1,NA
"3843",3843,549,2,NA,NA,NA,NA,-5.37957833521985
"3848",3848,550,0,2,-1.54783528391703,8,1,NA
"3849",3849,550,1,1,-1.41852878632699,NA,1,NA
"3850",3850,550,2,NA,NA,NA,NA,-5.39951488029842
"3855",3855,551,0,2,0.580298683052681,7,1,NA
"3856",3856,551,1,1,-1.48932352518794,NA,1,NA
"3857",3857,551,2,NA,NA,NA,NA,-4.41215834340189
"3862",3862,552,0,3,-1.40884390239185,8,1,NA
"3863",3863,552,1,2,-1.37583203495874,NA,1,NA
"3864",3864,552,2,NA,NA,NA,NA,-4.74309457701363
"3869",3869,553,0,1,0.388243017306417,5,1,NA
"3870",3870,553,1,1,-1.49461305778627,NA,1,NA
"3871",3871,553,2,NA,NA,NA,NA,-2.56573730632513
"3876",3876,554,0,2,-1.55614142777454,7,1,NA
"3877",3877,554,1,3,-1.51506050424362,NA,1,NA
"3878",3878,554,2,NA,NA,NA,NA,-4.75815150568459
"3883",3883,555,0,3,-1.4900766894265,6,0,NA
"3884",3884,555,1,1,0.543348908121001,NA,1,NA
"3885",3885,555,2,NA,NA,NA,NA,-5.36366693901449
"3890",3890,556,0,2,-1.5504646279202,7,1,NA
"3891",3891,556,1,3,-1.4738538410933,NA,1,NA
"3892",3892,556,2,NA,NA,NA,NA,-2.61432114869671
"3897",3897,557,0,2,-1.54469286970199,6,1,NA
"3898",3898,557,1,1,-1.44136970222559,NA,1,NA
"3899",3899,557,2,NA,NA,NA,NA,-2.55783775725349
"3904",3904,558,0,2,-1.46615748853958,5,1,NA
"3905",3905,558,1,2,-1.62103596403019,NA,1,NA
"3906",3906,558,2,NA,NA,NA,NA,-1.68406808377913
"3911",3911,559,0,2,-1.54304389632878,9,1,NA
"3912",3912,559,1,2,-1.56433656179763,NA,1,NA
"3913",3913,559,2,NA,NA,NA,NA,-5.4978399838808
"3918",3918,560,0,2,-1.40964576324987,6,1,NA
"3919",3919,560,1,3,-1.52145070761552,NA,1,NA
"3920",3920,560,2,NA,NA,NA,NA,-3.86433300813434
"3925",3925,561,0,2,-1.40314943197872,6,1,NA
"3926",3926,561,1,2,-1.29284208749402,NA,1,NA
"3927",3927,561,2,NA,NA,NA,NA,-5.34851584142913
"3932",3932,562,0,1,0.589077179852791,7,1,NA
"3933",3933,562,1,3,-1.37945776109803,NA,1,NA
"3934",3934,562,2,NA,NA,NA,NA,-4.69400417736456
"3939",3939,563,0,1,-1.54286039150229,10,1,NA
"3940",3940,563,1,3,-1.40658927482483,NA,1,NA
"3941",3941,563,2,NA,NA,NA,NA,-3.99887330903635
"3946",3946,564,0,2,-1.51093930578173,7,1,NA
"3947",3947,564,1,2,-1.52151345492245,NA,0,NA
"3948",3948,564,2,NA,NA,NA,NA,-4.62263799125578
"3953",3953,565,0,2,-1.56542748553665,9,0,NA
"3954",3954,565,1,2,0.591119881156932,NA,1,NA
"3955",3955,565,2,NA,NA,NA,NA,-4.45782046254268
"3960",3960,566,0,2,-1.50706521450207,9,1,NA
"3961",3961,566,1,3,-1.4773764989851,NA,1,NA
"3962",3962,566,2,NA,NA,NA,NA,-4.57366266416361
"3967",3967,567,0,3,-1.55628124842916,6,1,NA
"3968",3968,567,1,3,-1.64601198178352,NA,1,NA
"3969",3969,567,2,NA,NA,NA,NA,-4.54047525971706
"3974",3974,568,0,2,-1.4698321176153,6,1,NA
"3975",3975,568,1,2,-1.59264148997424,NA,1,NA
"3976",3976,568,2,NA,NA,NA,NA,-2.61050982686283
"3981",3981,569,0,3,-1.55025445772039,6,1,NA
"3982",3982,569,1,1,-1.6879326262293,NA,1,NA
"3983",3983,569,2,NA,NA,NA,NA,-4.46862446554856
"3988",3988,570,0,3,-1.64212076042769,9,1,NA
"3989",3989,570,1,3,-1.55827924299462,NA,0,NA
"3990",3990,570,2,NA,NA,NA,NA,-4.64652243425828
"3995",3995,571,0,3,-1.56339678040778,9,1,NA
"3996",3996,571,1,2,-1.56219077069921,NA,0,NA
"3997",3997,571,2,NA,NA,NA,NA,-3.89426171863075
"4002",4002,572,0,2,-1.50098748741039,6,1,NA
"4003",4003,572,1,3,-1.58067690451165,NA,0,NA
"4004",4004,572,2,NA,NA,NA,NA,-4.42739236733322
"4009",4009,573,0,2,-1.31422832448782,5,0,NA
"4010",4010,573,1,3,0.327820840037841,NA,1,NA
"4011",4011,573,2,NA,NA,NA,NA,-4.6614901711759
"4016",4016,574,0,1,-1.5038032141966,10,1,NA
"4017",4017,574,1,2,-1.41953298245446,NA,1,NA
"4018",4018,574,2,NA,NA,NA,NA,-5.37187584710693
"4023",4023,575,0,2,-1.49409603595403,8,1,NA
"4024",4024,575,1,3,-1.30927811012339,NA,0,NA
"4025",4025,575,2,NA,NA,NA,NA,-2.65709610841701
"4030",4030,576,0,2,-1.57963356164963,6,1,NA
"4031",4031,576,1,2,-1.48732968808524,NA,1,NA
"4032",4032,576,2,NA,NA,NA,NA,-4.50233929766715
"4037",4037,577,0,3,-1.48151178088706,8,1,NA
"4038",4038,577,1,3,-1.39405833317137,NA,0,NA
"4039",4039,577,2,NA,NA,NA,NA,-4.69044966464312
"4044",4044,578,0,2,0.468523807395527,8,1,NA
"4045",4045,578,1,2,-1.56036146975555,NA,1,NA
"4046",4046,578,2,NA,NA,NA,NA,-5.17562267148391
"4051",4051,579,0,2,-1.48358765946405,8,1,NA
"4052",4052,579,1,3,-1.46453421860749,NA,1,NA
"4053",4053,579,2,NA,NA,NA,NA,-4.63965917402653
"4058",4058,580,0,2,0.673878190358143,5,1,NA
"4059",4059,580,1,3,-1.52564484232461,NA,1,NA
"4060",4060,580,2,NA,NA,NA,NA,-4.66670551226233
"4065",4065,581,0,3,0.477468222137176,10,1,NA
"4066",4066,581,1,3,-1.54556969198878,NA,1,NA
"4067",4067,581,2,NA,NA,NA,NA,-5.44000818824691
"4072",4072,582,0,3,-1.47898517588257,10,1,NA
"4073",4073,582,1,3,-1.49722241460739,NA,1,NA
"4074",4074,582,2,NA,NA,NA,NA,-4.49693759363236
"4079",4079,583,0,2,-1.63122115174962,5,1,NA
"4080",4080,583,1,3,-1.7386900797459,NA,1,NA
"4081",4081,583,2,NA,NA,NA,NA,-5.3546977121445
"4086",4086,584,0,3,0.479845981063782,5,1,NA
"4087",4087,584,1,2,-1.54373358927699,NA,1,NA
"4088",4088,584,2,NA,NA,NA,NA,-4.68702273863913
"4093",4093,585,0,2,-1.46548832162147,7,1,NA
"4094",4094,585,1,2,-1.39847815474321,NA,1,NA
"4095",4095,585,2,NA,NA,NA,NA,-5.29629619684535
"4100",4100,586,0,2,-1.46075871860478,7,1,NA
"4101",4101,586,1,3,-1.66089902796437,NA,1,NA
"4102",4102,586,2,NA,NA,NA,NA,-2.50100036386047
"4107",4107,587,0,3,0.508874530034657,5,1,NA
"4108",4108,587,1,2,-1.42781641459907,NA,1,NA
"4109",4109,587,2,NA,NA,NA,NA,-4.57442649386893
"4114",4114,588,0,3,-1.50587552804157,8,1,NA
"4115",4115,588,1,2,-1.37909256362083,NA,1,NA
"4116",4116,588,2,NA,NA,NA,NA,-4.77344742267208
"4121",4121,589,0,2,-1.36445099344458,7,1,NA
"4122",4122,589,1,3,-1.59620368644748,NA,1,NA
"4123",4123,589,2,NA,NA,NA,NA,-2.73750618470676
"4128",4128,590,0,3,-1.63538641624953,5,1,NA
"4129",4129,590,1,3,-1.30413415632359,NA,1,NA
"4130",4130,590,2,NA,NA,NA,NA,-5.28425676997903
"4135",4135,591,0,3,-1.27697853827763,8,1,NA
"4136",4136,591,1,2,-1.43821582340639,NA,0,NA
"4137",4137,591,2,NA,NA,NA,NA,-3.66055657695263
"4142",4142,592,0,1,0.486175137759749,7,1,NA
"4143",4143,592,1,3,-1.38916675465901,NA,0,NA
"4144",4144,592,2,NA,NA,NA,NA,-3.360956549305
"4149",4149,593,0,2,-1.51195260698612,8,1,NA
"4150",4150,593,1,3,-1.60119024360617,NA,1,NA
"4151",4151,593,2,NA,NA,NA,NA,-4.62700476982263
"4156",4156,594,0,3,-1.47920838922786,6,1,NA
"4157",4157,594,1,2,-1.42791146085165,NA,1,NA
"4158",4158,594,2,NA,NA,NA,NA,-1.77704697993904
"4163",4163,595,0,2,-1.46959481755283,6,1,NA
"4164",4164,595,1,3,-1.58585923252867,NA,0,NA
"4165",4165,595,2,NA,NA,NA,NA,-3.79152429021517
"4170",4170,596,0,3,-1.60300749635067,10,1,NA
"4171",4171,596,1,2,-1.5140987023218,NA,1,NA
"4172",4172,596,2,NA,NA,NA,NA,-4.50835659623549
"4177",4177,597,0,2,-1.42786386299253,5,1,NA
"4178",4178,597,1,3,-1.41087868722195,NA,1,NA
"4179",4179,597,2,NA,NA,NA,NA,-4.52875830919916
"4184",4184,598,0,2,-1.40292781202796,6,0,NA
"4185",4185,598,1,2,0.30960678065621,NA,1,NA
"4186",4186,598,2,NA,NA,NA,NA,-3.4589134833368
"4191",4191,599,0,2,-1.42821559711481,8,1,NA
"4192",4192,599,1,2,-1.57230298282093,NA,1,NA
"4193",4193,599,2,NA,NA,NA,NA,-5.44466950951636
"4198",4198,600,0,3,-1.5362109674583,6,1,NA
"4199",4199,600,1,3,-1.42328500460851,NA,1,NA
"4200",4200,600,2,NA,NA,NA,NA,-2.46951894498058
"4205",4205,601,0,1,0.334972904543843,8,1,NA
"4206",4206,601,1,3,-1.38735314353876,NA,1,NA
"4207",4207,601,2,NA,NA,NA,NA,-5.47756035573959
"4212",4212,602,0,3,-1.5337603274366,7,1,NA
"4213",4213,602,1,3,-1.50093153438084,NA,0,NA
"4214",4214,602,2,NA,NA,NA,NA,-4.4668532669415
"4219",4219,603,0,2,-1.39247516880162,6,1,NA
"4220",4220,603,1,2,-1.35808525707302,NA,1,NA
"4221",4221,603,2,NA,NA,NA,NA,-5.29098388697159
"4226",4226,604,0,3,-1.44445015755995,6,0,NA
"4227",4227,604,1,2,0.397012969097409,NA,1,NA
"4228",4228,604,2,NA,NA,NA,NA,-5.48263219176986
"4233",4233,605,0,1,-1.43019948913112,7,1,NA
"4234",4234,605,1,2,-1.58621933087823,NA,1,NA
"4235",4235,605,2,NA,NA,NA,NA,-3.70221122435104
"4240",4240,606,0,2,0.601447634718137,10,1,NA
"4241",4241,606,1,2,-1.46689182442959,NA,1,NA
"4242",4242,606,2,NA,NA,NA,NA,-3.87755284192638
"4247",4247,607,0,2,-1.41516528169068,9,0,NA
"4248",4248,607,1,1,0.48235341664494,NA,1,NA
"4249",4249,607,2,NA,NA,NA,NA,-5.35993146436868
"4254",4254,608,0,3,-1.47309278635143,10,1,NA
"4255",4255,608,1,3,-1.48239124400097,NA,1,NA
"4256",4256,608,2,NA,NA,NA,NA,-1.89465579057579
"4261",4261,609,0,2,-1.59070747076692,10,0,NA
"4262",4262,609,1,3,0.499777296704379,NA,0,NA
"4263",4263,609,2,NA,NA,NA,NA,-5.21746002327773
"4268",4268,610,0,3,-1.48377826274799,6,1,NA
"4269",4269,610,1,2,-1.55151547844218,NA,1,NA
"4270",4270,610,2,NA,NA,NA,NA,-5.29472205531968
"4275",4275,611,0,1,-1.44930790924035,6,0,NA
"4276",4276,611,1,2,0.607211416196581,NA,0,NA
"4277",4277,611,2,NA,NA,NA,NA,-3.7125954310129
"4282",4282,612,0,2,0.175555501424863,10,0,NA
"4283",4283,612,1,1,0.258321423105289,NA,0,NA
"4284",4284,612,2,NA,NA,NA,NA,-4.60509149327779
"4289",4289,613,0,2,-1.54921084706282,7,1,NA
"4290",4290,613,1,2,-1.37176400420558,NA,1,NA
"4291",4291,613,2,NA,NA,NA,NA,-4.59163283150285
"4296",4296,614,0,3,-1.5331187500193,8,0,NA
"4297",4297,614,1,2,0.459121422788305,NA,1,NA
"4298",4298,614,2,NA,NA,NA,NA,-3.63106480346105
"4303",4303,615,0,2,0.48785019148092,5,1,NA
"4304",4304,615,1,3,-1.59676965240646,NA,0,NA
"4305",4305,615,2,NA,NA,NA,NA,-4.65926976441678
"4310",4310,616,0,2,-1.49948711082366,10,1,NA
"4311",4311,616,1,3,-1.41295297213389,NA,1,NA
"4312",4312,616,2,NA,NA,NA,NA,-3.896618398656
"4317",4317,617,0,2,-1.57479360257684,5,1,NA
"4318",4318,617,1,3,-1.49351043871263,NA,1,NA
"4319",4319,617,2,NA,NA,NA,NA,-2.58603386995112
"4324",4324,618,0,3,-1.51808526212657,7,0,NA
"4325",4325,618,1,3,0.446021065988731,NA,0,NA
"4326",4326,618,2,NA,NA,NA,NA,-1.92960626845995
"4331",4331,619,0,2,-1.61046340980257,6,1,NA
"4332",4332,619,1,2,-1.4346383360177,NA,1,NA
"4333",4333,619,2,NA,NA,NA,NA,-4.80157936809899
"4338",4338,620,0,3,-1.6171718533494,8,1,NA
"4339",4339,620,1,2,-1.2731962249638,NA,1,NA
"4340",4340,620,2,NA,NA,NA,NA,-4.46823137655758
"4345",4345,621,0,3,-1.63375149619537,5,1,NA
"4346",4346,621,1,3,-1.34412837017913,NA,1,NA
"4347",4347,621,2,NA,NA,NA,NA,-4.58110284476103
"4352",4352,622,0,3,-1.42818385980465,6,1,NA
"4353",4353,622,1,1,-1.55163408975889,NA,1,NA
"4354",4354,622,2,NA,NA,NA,NA,-4.63706544265011
"4359",4359,623,0,2,0.56820664510599,5,1,NA
"4360",4360,623,1,3,-1.48358005352283,NA,1,NA
"4361",4361,623,2,NA,NA,NA,NA,-4.62354291853167
"4366",4366,624,0,2,-1.51335417215892,10,1,NA
"4367",4367,624,1,3,-1.50580536578634,NA,1,NA
"4368",4368,624,2,NA,NA,NA,NA,-5.34182004165465
"4373",4373,625,0,2,-1.41721838461158,8,1,NA
"4374",4374,625,1,2,-1.56611017070279,NA,1,NA
"4375",4375,625,2,NA,NA,NA,NA,-2.51466268580952
"4380",4380,626,0,3,0.615023411733113,6,1,NA
"4381",4381,626,1,3,-1.43429170168856,NA,1,NA
"4382",4382,626,2,NA,NA,NA,NA,-4.73996035235546
"4387",4387,627,0,3,-1.60870816173164,7,1,NA
"4388",4388,627,1,3,-1.45388324333914,NA,1,NA
"4389",4389,627,2,NA,NA,NA,NA,-4.62748994251986
"4394",4394,628,0,2,-1.44380366612929,8,1,NA
"4395",4395,628,1,2,-1.40317224025119,NA,1,NA
"4396",4396,628,2,NA,NA,NA,NA,-4.742494865593
"4401",4401,629,0,2,-1.35117661396708,10,1,NA
"4402",4402,629,1,2,-1.42831274280014,NA,0,NA
"4403",4403,629,2,NA,NA,NA,NA,-3.79356143274358
"4408",4408,630,0,1,-1.63556646752998,7,0,NA
"4409",4409,630,1,1,0.389354989371129,NA,1,NA
"4410",4410,630,2,NA,NA,NA,NA,-3.83038578754879
"4415",4415,631,0,2,-1.31643837469891,7,1,NA
"4416",4416,631,1,2,-1.60224296276741,NA,1,NA
"4417",4417,631,2,NA,NA,NA,NA,-3.37837161263931
"4422",4422,632,0,3,-1.57354049619876,8,1,NA
"4423",4423,632,1,2,-1.47615393819667,NA,1,NA
"4424",4424,632,2,NA,NA,NA,NA,-5.50602198245817
"4429",4429,633,0,1,0.571122788202495,7,0,NA
"4430",4430,633,1,1,0.750719509020931,NA,1,NA
"4431",4431,633,2,NA,NA,NA,NA,-5.25052390078636
"4436",4436,634,0,3,-1.56585494138622,7,1,NA
"4437",4437,634,1,2,-1.39536722009537,NA,1,NA
"4438",4438,634,2,NA,NA,NA,NA,-4.66555298596938
"4443",4443,635,0,3,-1.52232834658138,5,1,NA
"4444",4444,635,1,2,-1.55095377583356,NA,1,NA
"4445",4445,635,2,NA,NA,NA,NA,-4.79609275868423
"4450",4450,636,0,2,-1.5412587892348,8,1,NA
"4451",4451,636,1,2,-1.57172341035536,NA,1,NA
"4452",4452,636,2,NA,NA,NA,NA,-4.62262134533712
"4457",4457,637,0,2,-1.41075655497032,7,1,NA
"4458",4458,637,1,3,-1.40417364610865,NA,1,NA
"4459",4459,637,2,NA,NA,NA,NA,-5.15696903570411
"4464",4464,638,0,3,0.516517673230547,6,0,NA
"4465",4465,638,1,3,0.552427367437213,NA,1,NA
"4466",4466,638,2,NA,NA,NA,NA,-4.59359414814703
"4471",4471,639,0,3,-1.4775130222265,8,1,NA
"4472",4472,639,1,2,-1.61867678014308,NA,1,NA
"4473",4473,639,2,NA,NA,NA,NA,-4.61922620977096
"4478",4478,640,0,2,-1.59139636061777,7,1,NA
"4479",4479,640,1,3,-1.65349198113553,NA,1,NA
"4480",4480,640,2,NA,NA,NA,NA,-4.6695490683032
"4485",4485,641,0,2,-1.69829256728854,9,1,NA
"4486",4486,641,1,2,-1.28266132275199,NA,1,NA
"4487",4487,641,2,NA,NA,NA,NA,-4.93495526842006
"4492",4492,642,0,3,-1.55686577850665,5,1,NA
"4493",4493,642,1,3,-1.62996689825993,NA,0,NA
"4494",4494,642,2,NA,NA,NA,NA,-4.49703262947931
"4499",4499,643,0,2,-1.42163988259389,7,0,NA
"4500",4500,643,1,3,0.482994199467747,NA,1,NA
"4501",4501,643,2,NA,NA,NA,NA,-3.73611049078956
"4506",4506,644,0,2,-1.7441433366721,7,1,NA
"4507",4507,644,1,3,-1.44235631633138,NA,1,NA
"4508",4508,644,2,NA,NA,NA,NA,-2.65229215318256
"4513",4513,645,0,3,-1.36752696868373,5,0,NA
"4514",4514,645,1,1,0.435377351139967,NA,1,NA
"4515",4515,645,2,NA,NA,NA,NA,-5.32137042036416
"4520",4520,646,0,2,-1.30999353060182,5,1,NA
"4521",4521,646,1,3,-1.56583715070589,NA,1,NA
"4522",4522,646,2,NA,NA,NA,NA,-5.35246763624889
"4527",4527,647,0,2,-1.42382796541935,9,0,NA
"4528",4528,647,1,1,0.388859810342109,NA,1,NA
"4529",4529,647,2,NA,NA,NA,NA,-4.7063374677458
"4534",4534,648,0,3,-1.29655455203479,6,1,NA
"4535",4535,648,1,3,-1.49197644734129,NA,0,NA
"4536",4536,648,2,NA,NA,NA,NA,-5.40646852649936
"4541",4541,649,0,3,0.657068566365893,5,1,NA
"4542",4542,649,1,3,-1.50639832545013,NA,1,NA
"4543",4543,649,2,NA,NA,NA,NA,-4.32419313649133
"4548",4548,650,0,2,-1.40400840087604,8,1,NA
"4549",4549,650,1,2,-1.46502946486029,NA,1,NA
"4550",4550,650,2,NA,NA,NA,NA,-2.74561294126327
"4555",4555,651,0,2,0.323428908341523,5,1,NA
"4556",4556,651,1,3,-1.51856936769214,NA,0,NA
"4557",4557,651,2,NA,NA,NA,NA,-1.74141918156683
"4562",4562,652,0,3,-1.4438096972336,6,1,NA
"4563",4563,652,1,3,-1.3731773082047,NA,1,NA
"4564",4564,652,2,NA,NA,NA,NA,-4.59996047751108
"4569",4569,653,0,3,-1.53283875418834,8,1,NA
"4570",4570,653,1,1,-1.49167044382175,NA,1,NA
"4571",4571,653,2,NA,NA,NA,NA,-5.30276423129048
"4576",4576,654,0,1,-1.5488636196562,8,0,NA
"4577",4577,654,1,2,0.464787927089188,NA,1,NA
"4578",4578,654,2,NA,NA,NA,NA,-3.75209805381418
"4583",4583,655,0,1,-1.31439551055593,7,0,NA
"4584",4584,655,1,3,0.5077919087969,NA,1,NA
"4585",4585,655,2,NA,NA,NA,NA,-5.32797478817496
"4590",4590,656,0,3,-1.46186845722746,6,1,NA
"4591",4591,656,1,2,-1.68729006164831,NA,1,NA
"4592",4592,656,2,NA,NA,NA,NA,-5.42648926140055
"4597",4597,657,0,1,-1.34191457992823,8,1,NA
"4598",4598,657,1,2,-1.53858105934191,NA,1,NA
"4599",4599,657,2,NA,NA,NA,NA,-3.82202409608281
"4604",4604,658,0,1,0.507322084463281,5,1,NA
"4605",4605,658,1,2,-1.28978990033769,NA,0,NA
"4606",4606,658,2,NA,NA,NA,NA,-4.47981973478986
"4611",4611,659,0,1,-1.57569086204883,6,1,NA
"4612",4612,659,1,2,-1.45874744885523,NA,1,NA
"4613",4613,659,2,NA,NA,NA,NA,-3.7948501574039
"4618",4618,660,0,2,-1.57218202488362,6,0,NA
"4619",4619,660,1,1,0.461165657628205,NA,1,NA
"4620",4620,660,2,NA,NA,NA,NA,-5.34407561075256
"4625",4625,661,0,2,-1.36618198004113,7,1,NA
"4626",4626,661,1,2,-1.54193963186582,NA,1,NA
"4627",4627,661,2,NA,NA,NA,NA,-4.63801190098181
"4632",4632,662,0,1,-1.48020371770662,5,1,NA
"4633",4633,662,1,2,-1.59111561304627,NA,1,NA
"4634",4634,662,2,NA,NA,NA,NA,-5.42560505807502
"4639",4639,663,0,2,-1.5283622387024,6,1,NA
"4640",4640,663,1,2,-1.44516471116433,NA,1,NA
"4641",4641,663,2,NA,NA,NA,NA,-4.54987261509024
"4646",4646,664,0,3,-1.33863610898714,6,1,NA
"4647",4647,664,1,2,-1.4598661984773,NA,1,NA
"4648",4648,664,2,NA,NA,NA,NA,-3.36631381453446
"4653",4653,665,0,2,-1.38177145029061,9,1,NA
"4654",4654,665,1,3,-1.22509806850238,NA,1,NA
"4655",4655,665,2,NA,NA,NA,NA,-4.75267075979545
"4660",4660,666,0,3,-1.50015837583348,8,1,NA
"4661",4661,666,1,2,-1.41603396369785,NA,0,NA
"4662",4662,666,2,NA,NA,NA,NA,-4.62621327430471
"4667",4667,667,0,3,-1.51440581666124,5,1,NA
"4668",4668,667,1,2,-1.47235815452814,NA,1,NA
"4669",4669,667,2,NA,NA,NA,NA,-2.60867363994234
"4674",4674,668,0,1,-1.43406730527618,10,1,NA
"4675",4675,668,1,2,-1.50493177706476,NA,1,NA
"4676",4676,668,2,NA,NA,NA,NA,-4.57989610083981
"4681",4681,669,0,1,-1.46362725752612,10,1,NA
"4682",4682,669,1,3,-1.50656358689909,NA,1,NA
"4683",4683,669,2,NA,NA,NA,NA,-5.3378656826623
"4688",4688,670,0,2,-1.5655964337226,10,0,NA
"4689",4689,670,1,3,0.571088936273992,NA,1,NA
"4690",4690,670,2,NA,NA,NA,NA,-3.23184832864577
"4695",4695,671,0,2,-1.53360408245778,5,1,NA
"4696",4696,671,1,2,-1.41414514090933,NA,1,NA
"4697",4697,671,2,NA,NA,NA,NA,-2.56434681317364
"4702",4702,672,0,3,-1.52316682196834,7,1,NA
"4703",4703,672,1,2,-1.68998983133223,NA,1,NA
"4704",4704,672,2,NA,NA,NA,NA,-5.23980732419576
"4709",4709,673,0,3,-1.39243061247848,8,1,NA
"4710",4710,673,1,1,-1.32406768077242,NA,1,NA
"4711",4711,673,2,NA,NA,NA,NA,-4.58712562251645
"4716",4716,674,0,3,0.409637804963814,7,1,NA
"4717",4717,674,1,3,-1.67031459379656,NA,1,NA
"4718",4718,674,2,NA,NA,NA,NA,-2.63854778646647
"4723",4723,675,0,2,-1.43884560060515,5,0,NA
"4724",4724,675,1,3,0.447616495739137,NA,1,NA
"4725",4725,675,2,NA,NA,NA,NA,-5.36880328398409
"4730",4730,676,0,2,-1.40038889292441,7,1,NA
"4731",4731,676,1,2,-1.44510976196575,NA,0,NA
"4732",4732,676,2,NA,NA,NA,NA,-1.69613224752607
"4737",4737,677,0,3,-1.50405214460588,7,1,NA
"4738",4738,677,1,1,-1.47996168444567,NA,0,NA
"4739",4739,677,2,NA,NA,NA,NA,-3.30736324456386
"4744",4744,678,0,2,-1.45001934181449,9,1,NA
"4745",4745,678,1,3,-1.56796449796256,NA,1,NA
"4746",4746,678,2,NA,NA,NA,NA,-2.48064587143053
"4751",4751,679,0,2,-1.38109750046863,6,1,NA
"4752",4752,679,1,2,-1.53079088691062,NA,0,NA
"4753",4753,679,2,NA,NA,NA,NA,-5.24606752767013
"4758",4758,680,0,2,-1.58901081363452,8,1,NA
"4759",4759,680,1,2,-1.51057951016663,NA,1,NA
"4760",4760,680,2,NA,NA,NA,NA,-4.52247985409187
"4765",4765,681,0,2,0.476874619092693,5,1,NA
"4766",4766,681,1,2,-1.56391209083984,NA,1,NA
"4767",4767,681,2,NA,NA,NA,NA,-5.27117122612574
"4772",4772,682,0,3,-1.61590152223253,9,1,NA
"4773",4773,682,1,2,-1.43222483270395,NA,1,NA
"4774",4774,682,2,NA,NA,NA,NA,-4.62523361598397
"4779",4779,683,0,2,-1.45171184665457,9,1,NA
"4780",4780,683,1,3,-1.70007973910541,NA,1,NA
"4781",4781,683,2,NA,NA,NA,NA,-3.87487130206037
"4786",4786,684,0,2,-1.32196925971912,5,1,NA
"4787",4787,684,1,2,-1.47654808574006,NA,1,NA
"4788",4788,684,2,NA,NA,NA,NA,-3.26515605311001
"4793",4793,685,0,2,-1.49098470627921,7,1,NA
"4794",4794,685,1,1,-1.62259853414988,NA,0,NA
"4795",4795,685,2,NA,NA,NA,NA,-1.90558804860149
"4800",4800,686,0,3,0.397849429167239,6,1,NA
"4801",4801,686,1,3,-1.50966112300888,NA,1,NA
"4802",4802,686,2,NA,NA,NA,NA,-4.6309972662922
"4807",4807,687,0,2,-1.51391732173025,6,1,NA
"4808",4808,687,1,3,-1.53614144537809,NA,1,NA
"4809",4809,687,2,NA,NA,NA,NA,-4.43036678857735
"4814",4814,688,0,1,0.374229277675454,8,1,NA
"4815",4815,688,1,3,-1.44594680690209,NA,1,NA
"4816",4816,688,2,NA,NA,NA,NA,-5.52942367715628
"4821",4821,689,0,2,0.60903088862677,10,0,NA
"4822",4822,689,1,3,0.416769785568439,NA,1,NA
"4823",4823,689,2,NA,NA,NA,NA,-5.16593549911366
"4828",4828,690,0,3,0.493535959914091,9,1,NA
"4829",4829,690,1,3,-1.57268539416239,NA,1,NA
"4830",4830,690,2,NA,NA,NA,NA,-4.61622990456985
"4835",4835,691,0,2,-1.56992455725338,10,1,NA
"4836",4836,691,1,2,-1.50810106792506,NA,0,NA
"4837",4837,691,2,NA,NA,NA,NA,-3.36915507676014
"4842",4842,692,0,2,-1.53972242313377,8,1,NA
"4843",4843,692,1,3,-1.5422343350171,NA,1,NA
"4844",4844,692,2,NA,NA,NA,NA,-5.3696699220481
"4849",4849,693,0,3,-1.63880732705314,9,1,NA
"4850",4850,693,1,2,-1.55954609657073,NA,1,NA
"4851",4851,693,2,NA,NA,NA,NA,-4.6647950194626
"4856",4856,694,0,2,-1.47666304492036,5,1,NA
"4857",4857,694,1,2,-1.62943856838128,NA,1,NA
"4858",4858,694,2,NA,NA,NA,NA,-4.61936838070201
"4863",4863,695,0,2,-1.34144306901642,7,1,NA
